samp,rcasiteid,upedon,TOP,BOT,Bulkdensity,SOC_pred1,Texture,fragvolc,c_tot_ncs,n_tot_ncs,s_tot_ncs,caco3
C0101F011-1,C0101F01,C0101F011,0,5,0.881002228,49.67409091,PM,0.0,48.09414976,2.40133955,0.18748186,
C0101F011-2,C0101F01,C0101F011,5,22,0.881002228,49.67409091,PM,0.0,50.14257416,1.62163978,0.09591542,
C0101F011-3,C0101F01,C0101F011,22,100,0.967665284,55.53,PM,0.0,55.52976786,1.17702699,0.03153757,
C0101F012-1,C0101F01,C0101F012,0,7,0.884497118,43.37,PM,0.0,43.36544241,2.16569124,0.07854839,
C0101F012-2,C0101F01,C0101F012,7,41,0.910510406,44.86,PM,0.0,44.85762287,2.43862309,0.08207445,
C0101F012-3,C0101F01,C0101F012,41,50,0.936825536,48.47090909,PM,0.0,50.74493868,2.17891418,0.15355517,
C0101F012-4,C0101F01,C0101F012,50,65,0.936825536,48.47090909,PM,0.0,47.61874863,1.97030745,0.16232647,0.302526
C0101F013-1,C0101F01,C0101F013,0,5,0.884497118,48.87838486,PM,0.0,48.78621045,2.64314432,0.15415529,
C0101F013-2,C0101F01,C0101F013,5,29,0.910301562,49.02,PM,0.0,49.01668187,2.67205032,0.13763073,
C0101F013-3,C0101F01,C0101F013,29,50,0.9593574,20.27796224,PM,0.0,54.59776054,1.30597023,0.0809109,
C0101F013-4,C0101F01,C0101F013,50,100,0.9593574,20.27796224,PM,0.0,55.33100807,1.64974165,0.05960212,
C0101F014-1,C0101F01,C0101F014,0,23,0.879785519,43.01815707,PM,0.0,47.91657294,2.01091171,0.11623115,0.332084
C0101F014-2,C0101F01,C0101F014,23,33,0.868797891,55.12,PM,0.0,55.12214955,2.01601264,0.24774,
C0101F014-3,C0101F01,C0101F014,33,100,0.960814559,53.27,PM,0.0,53.2668029,1.950936,0.12165448,
C0101F015-1,C0101F01,C0101F015,0,19,0.883440402,35.52,PM,0.0,35.51697985,2.07446851,0.10836776,
C0101F015-2,C0101F01,C0101F015,19,41,0.874996922,25.5,PM,0.0,25.50041862,1.45303081,0.0087073,
C0101F015-3,C0101F01,C0101F015,41,50,1.174055384,10.23251635,s,0.0,,,,
C0101F015-4,C0101F01,C0101F015,50,72,1.497476398,2.438913634,s,0.0,,,,
C0101W011-1,C0101W01,C0101W011,0,5,0.918831062,29.59403197,None,0.0,50.99263275,3.23055952,0.32032974,
C0101W011-2,C0101W01,C0101W011,5,25,0.90495321,48.09,PM,0.0,48.08920361,2.92991621,0.10642147,
C0101W011-3,C0101W01,C0101W011,25,50,0.852313128,55.14,PM,0.0,55.14477362,2.17923602,0.08992263,
C0101W011-4,C0101W01,C0101W011,50,100,0.983299612,8.684545381,PM,0.0,53.50522677,2.32347545,0.07317147,
C0101W012-1,C0101W01,C0101W012,0,7,1.075786144,29.91076242,l,0.0,,,,
C0101W012-2,C0101W01,C0101W012,7,22,1.043517248,50.13,PM,0.0,50.12814224,3.2176698,0.14767084,
C0101W012-3,C0101W01,C0101W012,22,40,0.859327562,52.93,PM,0.0,52.92715419,3.06832159,0.18501322,
C0101W012-4,C0101W01,C0101W012,40,100,0.980158815,51.93,PM,0.0,51.92831453,2.86540246,0.2117567,
C0101W013-1,C0101W01,C0101W013,0,6,1.078722398,30.76948512,l,0.0,,,,
C0101W013-2,C0101W01,C0101W013,6,23,1.037158359,46.31,PM,0.0,46.31035364,3.44373576,0.25233312,
C0101W013-3,C0101W01,C0101W013,23,42,0.852277452,49.81,PM,0.0,49.80559143,3.05961089,0.29288201,
C0101W013-4,C0101W01,C0101W013,42,100,0.979033447,55.24,PM,0.0,55.2402588,2.05618472,0.14970567,
C0101W014-1,C0101W01,C0101W014,0,5,1.077113345,32.82560263,l,0.0,,,,
C0101W014-2,C0101W01,C0101W014,5,20,1.054109328,52.75,PM,0.0,52.74919527,2.89005853,0.26334646,
C0101W014-3,C0101W01,C0101W014,20,50,0.851754553,53.75,PM,0.0,53.75327566,2.59236615,0.25585527,
C0101W014-4,C0101W01,C0101W014,50,100,0.979881819,50.37,PM,0.0,50.37295363,1.62750824,0.17646326,
C0101W015-1,C0101W01,C0101W015,0,7,1.075786144,30.04623519,l,0.0,,,,
C0101W015-2,C0101W01,C0101W015,7,20,1.049584162,51.64,PM,0.0,51.63919005,2.86572344,0.25218366,
C0101W015-3,C0101W01,C0101W015,20,50,0.849025316,52.52,PM,0.0,52.52339105,2.65613592,0.24157148,
C0101W015-4,C0101W01,C0101W015,50,100,0.979881819,52.11,PM,0.0,52.11419907,2.18769908,0.19242589,
C0101W041-1,C0101W04,C0101W041,0,8,0.884497118,34.15,PM,0.0,34.14940364,1.86356503,0.08403061,
C0101W041-2,C0101W04,C0101W041,8,17,1.100966615,4.87,PM,0.0,4.86587907,0.23404459,0.00613217,
C0101W041-3,C0101W04,C0101W041,17,30,1.406609924,9.102366934,s,0.0,0.54162714,0.03926293,0.00100674,0.025363
C0101W041-4,C0101W04,C0101W041,30,80,1.140288881,6.42,PM,0.0,6.42414223,0.28612838,0.03767527,
C0101W041-5,C0101W04,C0101W041,80,100,1.095890764,6.956619516,None,0.0,,,,
C0101W042-1,C0101W04,C0101W042,0,10,0.884646451,25.0,PM,0.0,24.99516456,1.29103774,0.08635,
C0101W042-2,C0101W04,C0101W042,10,17,1.100382562,14.67,PM,0.0,14.66520391,0.77054285,0.03526037,
C0101W042-3,C0101W04,C0101W042,17,32,1.349291352,9.728613703,s,0.0,,,,
C0101W042-4,C0101W04,C0101W042,32,100,1.148478663,25.53,PM,0.0,25.52722102,1.42127541,0.24331034,
C0101W043-1,C0101W04,C0101W043,0,8,0.884497118,24.67,PM,0.0,24.66846879,1.12163263,0.07129923,
C0101W043-2,C0101W04,C0101W043,8,18,1.082610846,14.04,PM,0.0,14.04409273,0.72729636,0.03324783,
C0101W043-3,C0101W04,C0101W043,18,22,0.800935137,14.45021663,l,0.0,,,,
C0101W043-4,C0101W04,C0101W043,22,52,1.334877232,9.780462972,s,0.0,,,,
C0101W044-1,C0101W04,C0101W044,0,12,0.884160785,44.88,PM,0.0,44.88429406,1.75793903,0.06122176,
C0101W044-2,C0101W04,C0101W044,12,21,1.097887949,13.24,PM,0.0,13.24489826,0.56248449,0.0,
C0101W044-3,C0101W04,C0101W044,21,55,1.262336003,9.202838132,s,0.0,,,,
C0101W044-4,C0101W04,C0101W044,55,100,1.205924488,12.38,PM,0.0,12.3803097,0.6965216,0.05373757,
C0101W045-1,C0101W04,C0101W045,0,12,0.884160785,43.48,PM,0.0,43.48229669,1.98117605,0.19833798,
C0101W045-2,C0101W04,C0101W045,12,20,1.090364207,8.8,PM,0.0,8.79580609,0.45461931,0.0,
C0101W045-3,C0101W04,C0101W045,20,40,1.433794444,4.863015699,s,0.0,,,,
C0101W045-4,C0101W04,C0101W045,40,100,1.173854391,22.56,PM,0.0,22.55724348,1.21616643,0.08671795,
C0101W051-1,C0101W05,C0101W051,0,8,0.884497118,25.77,PM,0.0,25.77380946,1.11014643,0.06173497,
C0101W051-2,C0101W05,C0101W051,8,47,0.900078321,25.94,PM,0.0,25.93536277,0.80893375,0.07422397,
C0101W051-3,C0101W05,C0101W051,47,100,0.96854834,22.78,PM,0.0,22.78371891,1.22393656,0.11508015,
C0101W052-1,C0101W05,C0101W052,0,16,0.884472998,31.72,PM,0.0,31.71598055,1.21251701,0.08660836,
C0101W052-2,C0101W05,C0101W052,16,55,0.866278471,26.86,PM,0.0,26.85555754,1.09307133,0.11942019,
C0101W052-3,C0101W05,C0101W052,55,100,0.980494788,26.91,PM,0.0,26.90510269,1.38742409,0.11033845,
C0101W053-1,C0101W05,C0101W053,0,10,0.884646451,30.84,PM,0.0,30.83548365,1.51755898,0.09532681,
C0101W053-2,C0101W05,C0101W053,10,43,0.896315943,23.04,PM,0.0,23.04000101,1.01929707,0.06802512,
C0101W053-3,C0101W05,C0101W053,43,100,0.971380476,26.36,PM,0.0,26.3602258,1.16233044,0.10822444,
C0101W054-1,C0101W05,C0101W054,0,15,0.979334545,27.75,PM,0.0,27.74658354,1.42727773,0.08261471,
C0101W054-2,C0101W05,C0101W054,15,50,1.086657837,21.18,PM,0.0,21.18403417,1.13124893,0.07634855,
C0101W054-3,C0101W05,C0101W054,50,100,1.267434461,15.75810377,vfsl,0.0,,,,
C0101W055-1,C0101W05,C0101W055,0,7,0.884351785,35.18,PM,0.0,36.48074179,1.90700042,0.1420341,20.080502
C0101W055-2,C0101W05,C0101W055,7,11,0.884351785,35.18,PM,0.0,35.1768114,1.18251532,0.07795598,
