upedon,rcasiteid,SOCstock5,SOCstock30,SOCstock100,Land_Use
A0108P921,A0108P92,15.1263604130942,76.0220728111933,100.113941479444,Pastureland
A0116P901,A0116P90,35.4817204220185,95.9655571596338,242.002573229696,Pastureland
A0116P941,A0116P94,36.8270553502387,104.147732963467,293.079581161858,Pastureland
A0116X971,A0116X97,6.95062045587668,29.8547810896055,69.735243895192,CRP
A0120R931,A0120R93,13.0729819436667,53.2499708806964,116.996856229881,Rangeland
A0201F961,A0201F96,6.78576144390439,24.8407917869814,29.3874374690865,Forestland
A0201F991,A0201F99,3.71967220731388,40.2226513313854,40.2226513313854,Forestland
A0204P961,A0204P96,10.4403756656198,55.089602556393,71.3064612644003,Pastureland
A0208P941,A0208P94,3.53768298652263,12.2208515396368,21.4537731592135,Pastureland
A0209P891,A0209P89,10.5133503317168,52.8827416308071,74.8869858592311,Pastureland
A0209P901,A0209P90,6.45659545438324,16.0484629214556,,Pastureland
A0210R871,A0210R87,2.51539671276474,9.65072502086458,24.1491694232448,Rangeland
A0215P991,A0215P99,8.94701242180586,26.7878232736165,57.107740782807,Pastureland
A0216P991,A0216P99,8.66810442333641,27.4353338505905,41.2390055403051,Pastureland
A0218R941,A0218R94,42.6911878240866,101.577969392287,256.531805975518,Rangeland
A0219P961,A0219P96,13.4039994563362,39.6816112626126,61.4977526955476,Pastureland
A0220R971,A0220R97,4.99652782998472,7.57966587914475,,Rangeland
A0220R981,A0220R98,121.944029035071,634.904684319737,697.895937083928,Rangeland
A0220R991,A0220R99,0.316312305240683,1.26700964625535,2.02756751906708,Rangeland
A0305R901,A0305R90,6.10191838823959,12.1168658220308,28.7678293838082,Rangeland
A0305R921,A0305R92,11.0063583115506,31.6705478085011,39.9362236072813,Rangeland
A0305R941,A0305R94,2.5874944705848,20.1301033251195,20.1301033251195,Rangeland
A0305R971,A0305R97,0.552620568573574,2.94359828877623,31.6152711537807,Rangeland
A0306R881,A0306R88,0.844875041162983,5.43774298133083,5.43774298133083,Rangeland
A0306R911,A0306R91,0.454602312493508,3.02367599701807,4.8360281481923,Rangeland
A0306R921,A0306R92,1.04487508252073,5.65210587726814,7.4949981951671,Rangeland
